entidad,anio,inclusion
AGS  ,2005,0
AGS  ,2006,0
AGS  ,2007,0
AGS  ,2008,0
AGS  ,2009,0
AGS  ,2010,0
AGS  ,2011,0
AGS  ,2012,0
AGS  ,2013,0
AGS  ,2014,0
AGS  ,2015,0
AGS  ,2016,0
AGS  ,2017,0
BC  ,2005,0
BC  ,2006,0
BC  ,2007,0
BC  ,2008,0
BC  ,2009,0
BC  ,2010,0
BC  ,2011,0
BC  ,2012,0
BC  ,2013,0
BC  ,2014,0
BC  ,2015,0
BC  ,2016,0
BC  ,2017,0
BCS  ,2005,0
BCS  ,2006,0
BCS  ,2007,0
BCS  ,2008,0
BCS  ,2009,0
BCS  ,2010,0
BCS  ,2011,0
BCS  ,2012,0
BCS  ,2013,0
BCS  ,2014,0
BCS  ,2015,0
BCS  ,2016,0
BCS  ,2017,0
CAMP  ,2005,0
CAMP  ,2006,0
CAMP  ,2007,0
CAMP  ,2008,0
CAMP  ,2009,0
CAMP  ,2010,0
CAMP  ,2011,0
CAMP  ,2012,0
CAMP  ,2013,1
CAMP  ,2014,1
CAMP  ,2015,1
CAMP  ,2016,2
CAMP  ,2017,2
CHIS  ,2005,0
CHIS  ,2006,0
CHIS  ,2007,0
CHIS  ,2008,0
CHIS  ,2009,0
CHIS  ,2010,0
CHIS  ,2011,0
CHIS  ,2012,0
CHIS  ,2013,0
CHIS  ,2014,0
CHIS  ,2015,0
CHIS  ,2016,0
CHIS  ,2017,2
CHIH  ,2005,0
CHIH  ,2006,0
CHIH  ,2007,0
CHIH  ,2008,0
CHIH  ,2009,0
CHIH  ,2010,0
CHIH  ,2011,0
CHIH  ,2012,0
CHIH  ,2013,0
CHIH  ,2014,0
CHIH  ,2015,0
CHIH  ,2016,0
CHIH  ,2017,0
CDMX  ,2005,0
CDMX  ,2006,1
CDMX  ,2007,1
CDMX  ,2008,1
CDMX  ,2009,2
CDMX  ,2010,2
CDMX  ,2011,2
CDMX  ,2012,2
CDMX  ,2013,2
CDMX  ,2014,2
CDMX  ,2015,2
CDMX  ,2016,2
CDMX  ,2017,2
COAH  ,2005,0
COAH  ,2006,0
COAH  ,2007,0
COAH  ,2008,0
COAH  ,2009,0
COAH  ,2010,0
COAH  ,2011,1
COAH  ,2012,1
COAH  ,2013,1
COAH  ,2014,2
COAH  ,2015,2
COAH  ,2016,2
COAH  ,2017,2
COL  ,2005,0
COL  ,2006,0
COL  ,2007,0
COL  ,2008,0
COL  ,2009,0
COL  ,2010,0
COL  ,2011,1
COL  ,2012,1
COL  ,2013,1
COL  ,2014,1
COL  ,2015,1
COL  ,2016,2
COL  ,2017,2
DGO  ,2005,0
DGO  ,2006,0
DGO  ,2007,0
DGO  ,2008,0
DGO  ,2009,0
DGO  ,2010,0
DGO  ,2011,0
DGO  ,2012,0
DGO  ,2013,0
DGO  ,2014,0
DGO  ,2015,0
DGO  ,2016,0
DGO  ,2017,2
GTO  ,2005,0
GTO  ,2006,0
GTO  ,2007,0
GTO  ,2008,0
GTO  ,2009,0
GTO  ,2010,0
GTO  ,2011,0
GTO  ,2012,0
GTO  ,2013,0
GTO  ,2014,0
GTO  ,2015,0
GTO  ,2016,0
GTO  ,2017,0
GRO  ,2005,0
GRO  ,2006,0
GRO  ,2007,0
GRO  ,2008,0
GRO  ,2009,0
GRO  ,2010,0
GRO  ,2011,0
GRO  ,2012,0
GRO  ,2013,0
GRO  ,2014,0
GRO  ,2015,0
GRO  ,2016,0
GRO  ,2017,0
HGO  ,2005,0
HGO  ,2006,0
HGO  ,2007,0
HGO  ,2008,0
HGO  ,2009,0
HGO  ,2010,0
HGO  ,2011,0
HGO  ,2012,0
HGO  ,2013,0
HGO  ,2014,0
HGO  ,2015,0
HGO  ,2016,0
HGO  ,2017,0
JAL  ,2005,0
JAL  ,2006,0
JAL  ,2007,0
JAL  ,2008,0
JAL  ,2009,0
JAL  ,2010,0
JAL  ,2011,0
JAL  ,2012,0
JAL  ,2013,1
JAL  ,2014,1
JAL  ,2015,1
JAL  ,2016,2
JAL  ,2017,2
EDOMEX  ,2005,0
EDOMEX  ,2006,0
EDOMEX  ,2007,0
EDOMEX  ,2008,0
EDOMEX  ,2009,0
EDOMEX  ,2010,0
EDOMEX  ,2011,0
EDOMEX  ,2012,0
EDOMEX  ,2013,0
EDOMEX  ,2014,0
EDOMEX  ,2015,0
EDOMEX  ,2016,0
EDOMEX  ,2017,0
MICH  ,2005,0
MICH  ,2006,0
MICH  ,2007,0
MICH  ,2008,0
MICH  ,2009,0
MICH  ,2010,0
MICH  ,2011,0
MICH  ,2012,0
MICH  ,2013,0
MICH  ,2014,0
MICH  ,2015,0
MICH  ,2016,0
MICH  ,2017,2
MOR  ,2005,0
MOR  ,2006,0
MOR  ,2007,0
MOR  ,2008,0
MOR  ,2009,0
MOR  ,2010,0
MOR  ,2011,0
MOR  ,2012,0
MOR  ,2013,0
MOR  ,2014,0
MOR  ,2015,0
MOR  ,2016,2
MOR  ,2017,2
NAY  ,2005,0
NAY  ,2006,0
NAY  ,2007,0
NAY  ,2008,0
NAY  ,2009,0
NAY  ,2010,0
NAY  ,2011,0
NAY  ,2012,0
NAY  ,2013,0
NAY  ,2014,0
NAY  ,2015,2
NAY  ,2016,2
NAY  ,2017,2
NL  ,2005,0
NL  ,2006,0
NL  ,2007,0
NL  ,2008,0
NL  ,2009,0
NL  ,2010,0
NL  ,2011,0
NL  ,2012,0
NL  ,2013,0
NL  ,2014,0
NL  ,2015,0
NL  ,2016,0
NL  ,2017,0
OAX  ,2005,0
OAX  ,2006,0
OAX  ,2007,0
OAX  ,2008,0
OAX  ,2009,0
OAX  ,2010,0
OAX  ,2011,0
OAX  ,2012,0
OAX  ,2013,0
OAX  ,2014,0
OAX  ,2015,0
OAX  ,2016,0
OAX  ,2017,0
PUE  ,2005,0
PUE  ,2006,0
PUE  ,2007,0
PUE  ,2008,0
PUE  ,2009,0
PUE  ,2010,0
PUE  ,2011,0
PUE  ,2012,0
PUE  ,2013,0
PUE  ,2014,0
PUE  ,2015,0
PUE  ,2016,0
PUE  ,2017,0
QRO  ,2005,0
QRO  ,2006,0
QRO  ,2007,0
QRO  ,2008,0
QRO  ,2009,0
QRO  ,2010,0
QRO  ,2011,0
QRO  ,2012,0
QRO  ,2013,0
QRO  ,2014,0
QRO  ,2015,0
QRO  ,2016,0
QRO  ,2017,0
QROO  ,2005,0
QROO  ,2006,0
QROO  ,2007,0
QROO  ,2008,0
QROO  ,2009,0
QROO  ,2010,0
QROO  ,2011,0
QROO  ,2012,2
QROO  ,2013,2
QROO  ,2014,2
QROO  ,2015,2
QROO  ,2016,2
QROO  ,2017,2
SLP  ,2005,0
SLP  ,2006,0
SLP  ,2007,0
SLP  ,2008,0
SLP  ,2009,0
SLP  ,2010,0
SLP  ,2011,0
SLP  ,2012,0
SLP  ,2013,0
SLP  ,2014,0
SLP  ,2015,0
SLP  ,2016,0
SLP  ,2017,0
SIN  ,2005,0
SIN  ,2006,0
SIN  ,2007,0
SIN  ,2008,0
SIN  ,2009,0
SIN  ,2010,0
SIN  ,2011,0
SIN  ,2012,0
SIN  ,2013,0
SIN  ,2014,0
SIN  ,2015,0
SIN  ,2016,0
SIN  ,2017,0
SON  ,2005,0
SON  ,2006,0
SON  ,2007,0
SON  ,2008,0
SON  ,2009,0
SON  ,2010,0
SON  ,2011,0
SON  ,2012,0
SON  ,2013,0
SON  ,2014,0
SON  ,2015,0
SON  ,2016,0
SON  ,2017,0
TAB  ,2005,0
TAB  ,2006,0
TAB  ,2007,0
TAB  ,2008,0
TAB  ,2009,0
TAB  ,2010,0
TAB  ,2011,0
TAB  ,2012,0
TAB  ,2013,0
TAB  ,2014,0
TAB  ,2015,0
TAB  ,2016,0
TAB  ,2017,0
TAMPS  ,2005,0
TAMPS  ,2006,0
TAMPS  ,2007,0
TAMPS  ,2008,0
TAMPS  ,2009,0
TAMPS  ,2010,0
TAMPS  ,2011,0
TAMPS  ,2012,0
TAMPS  ,2013,0
TAMPS  ,2014,0
TAMPS  ,2015,0
TAMPS  ,2016,0
TAMPS  ,2017,0
TLAX  ,2005,0
TLAX  ,2006,0
TLAX  ,2007,0
TLAX  ,2008,0
TLAX  ,2009,0
TLAX  ,2010,0
TLAX  ,2011,0
TLAX  ,2012,0
TLAX  ,2013,0
TLAX  ,2014,0
TLAX  ,2015,0
TLAX  ,2016,0
TLAX  ,2017,1
VER  ,2005,0
VER  ,2006,0
VER  ,2007,0
VER  ,2008,0
VER  ,2009,0
VER  ,2010,0
VER  ,2011,0
VER  ,2012,0
VER  ,2013,0
VER  ,2014,0
VER  ,2015,0
VER  ,2016,0
VER  ,2017,0
YUC  ,2005,0
YUC  ,2006,0
YUC  ,2007,0
YUC  ,2008,0
YUC  ,2009,0
YUC  ,2010,0
YUC  ,2011,0
YUC  ,2012,0
YUC  ,2013,0
YUC  ,2014,0
YUC  ,2015,0
YUC  ,2016,0
YUC  ,2017,0
ZAC  ,2005,0
ZAC  ,2006,0
ZAC  ,2007,0
ZAC  ,2008,0
ZAC  ,2009,0
ZAC  ,2010,0
ZAC  ,2011,0
ZAC  ,2012,0
ZAC  ,2013,0
ZAC  ,2014,0
ZAC  ,2015,0
ZAC  ,2016,0
ZAC  ,2017,0
