entidad,code_ent,inclusion_2019,inclusion_2018,inclusion_2017,inclusion_2016,inclusion_2015,inclusion_2014,inclusion_2013,inclusion_2012,inclusion_2011,inclusion_2010,inclusion_2009,inclusion_2008,inclusion_2007,inclusion_2006,inclusion_2005,matr_igua,ley_conv
Aguascalientes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1
Chiapas,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chihuahua,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciudad de Mexico,9,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1
Coahuila,5,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1
Colima,6,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,1
Durango,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Guanajuato,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalisco,14,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1
Mexico,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michoacan,16,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Morelos,17,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Nayarit,18,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0
Nuevo Leon,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oaxaca,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puebla,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queretaro,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintana Roo,23,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0
San Luis Potosi,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinaloa,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonora,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabasco,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamaulipas,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlaxcala,29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Veracruz,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yucatan,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zacatecas,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
